STATISTIC,Statistic Label,TLIST(M1),Month,C02596V03150,Industry Sector NACE Rev 2,UNIT,VALUE
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,106.9741676
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,27,Electrical equipment (27),Base 2021=100,102.6618036
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,104.2477783
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,31,Furniture (31),Base 2021=100,103.4816963
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.5455991
WPM40C01,Domestic Industrial Price Index (Excl VAT),202204,2022 April,10,Food products (10),Base 2021=100,115.5142706
WPM40C01,Domestic Industrial Price Index (Excl VAT),202204,2022 April,13,Textiles (13),Base 2021=100,102.6223381
WPM40C01,Domestic Industrial Price Index (Excl VAT),202204,2022 April,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202204,2022 April,16,"Wood and wood products, except furniture (16)",Base 2021=100,104.0871082
WPM40C01,Domestic Industrial Price Index (Excl VAT),202204,2022 April,17,Paper and paper products (17),Base 2021=100,104.4882161
